fname,row_id,col_id
S0022309399007000__6,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0]","[(45, 12), (53, 20), (52, 19), (44, 11), (77, 11), (85, 19)]"
S0022309399007000__8,"[0, 0, 0, 0, 0, 0, 0]",[]
S0022309315301149__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309315301149__1,"[0, 0, 0, 0, 0, 0, 0]",[]
S0022309315301149__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309302018914__0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[(417, 12), (110, 5), (220, 10), (62, 2), (131, 11), (221, 11), (26, 11), (205, 10), (32, 2), (453, 3), (294, 9), (242, 2), (189, 9), (414, 9), (17, 2), (309, 9), (155, 5), (290, 5), (208, 13), (230, 5), (182, 2), (440, 5), (40, 10), (41, 11), (152, 2), (250, 10), (128, 8), (382, 7), (362, 2), (43, 13), (25, 10), (118, 13), (163, 13), (137, 2), (98, 8), (298, 13), (70, 10), (95, 5), (238, 13), (352, 7), (275, 5), (410, 5), (190, 10), (302, 2), (146, 11), (266, 11), (38, 8), (272, 2), (133, 13), (158, 8), (429, 9), (257, 2), (215, 5), (160, 10), (161, 11), (280, 10), (83, 8), (281, 11), (145, 10), (103, 13), (116, 11), (283, 13), (265, 10), (223, 13), (20, 5), (310, 10), (204, 9), (107, 2), (65, 5), (47, 2), (23, 8), (140, 5), (455, 5), (143, 8), (115, 10), (219, 9), (73, 13), (227, 2), (185, 5), (366, 6), (367, 7), (236, 11), (28, 13), (148, 13), (336, 6), (351, 6), (68, 8), (260, 5), (334, 4), (337, 7), (444, 9), (130, 10), (447, 12), (364, 4), (71, 11), (347, 2), (125, 5), (191, 11), (305, 5), (55, 10), (279, 9), (92, 2), (251, 11), (287, 2), (56, 11), (432, 12), (235, 10), (77, 2), (193, 13), (459, 9), (264, 9), (313, 13), (245, 5), (86, 11), (425, 5), (234, 9), (206, 11), (423, 3), (100, 10), (80, 5), (101, 11), (268, 13), (212, 2), (462, 12), (85, 10), (379, 4), (197, 2), (381, 6), (311, 11), (50, 5), (53, 8), (88, 13), (295, 10), (377, 2), (349, 4), (200, 5), (249, 9), (438, 3), (332, 2), (113, 8), (296, 11), (122, 2), (408, 3), (253, 13), (58, 13), (35, 5)]"
S0022309309007248__0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 2, 2, 2, 2]","[(18, 4), (27, 6), (15, 1), (39, 4), (66, 3), (61, 5), (59, 3), (64, 1), (48, 6), (60, 4), (25, 4), (52, 3), (8, 1), (46, 4), (58, 2), (57, 1), (67, 4), (40, 5), (50, 1), (11, 4), (45, 3), (69, 6), (38, 3), (43, 1), (32, 4), (31, 3), (36, 1), (65, 2), (19, 5), (29, 1), (51, 2), (53, 4), (22, 1)]"
S0022309309007248__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309309007248__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309309007248__3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309309007248__4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309309007248__5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309309007248__6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309309007248__7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309309007248__8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309309007248__9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309308004936__0,"[0, 0, 1, 1, 1, 3, 2, 2, 2, 2, 2, 0, 0, 0, 0]","[(31, 11), (35, 15), (44, 14), (33, 13), (22, 12), (45, 15), (42, 12), (24, 14), (41, 11), (25, 15), (21, 11), (34, 14), (43, 13)]"
S0022309308004936__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309308004936__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309308004936__3,"[0, 0, 0, 0, 0, 0]",[]
S0022309301003775__0,"[3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[(29, 28), (46, 42), (34, 28), (27, 21), (59, 56), (50, 49), (47, 42), (16, 14), (52, 49), (60, 56), (37, 35), (43, 42), (55, 49), (10, 7), (19, 14), (30, 28), (23, 21), (13, 7), (36, 35), (61, 56), (44, 42), (17, 14), (22, 21), (32, 28), (9, 7), (39, 35), (26, 21), (58, 56), (12, 7), (54, 49), (51, 49), (41, 35), (8, 7), (33, 28), (25, 21), (15, 14), (45, 42), (20, 14), (31, 28), (11, 7), (40, 35), (48, 42), (18, 14), (38, 35), (53, 49), (24, 21), (62, 56)]"
S0022309397000057__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309397000057__1,"[0, 0, 1, 1, 1, 1, 3, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0]","[(28, 4), (62, 2), (26, 2), (61, 1), (25, 1), (41, 5), (40, 4), (39, 3), (42, 6), (38, 2), (37, 1), (51, 3), (53, 5), (67, 7), (52, 4), (50, 2), (49, 1), (27, 3), (64, 4), (63, 3), (29, 5)]"
S0022309304005320__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309304005320__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309304005320__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309315300752__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309315300752__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309303003077__0,"[0, 1, 1, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(66, 6), (25, 5), (62, 2), (43, 3), (45, 5), (24, 4), (61, 1), (44, 4), (42, 2), (73, 13), (22, 2), (41, 1), (72, 12), (21, 1), (74, 14), (75, 15), (69, 9), (68, 8), (77, 17), (30, 10), (76, 16), (67, 7), (71, 11), (79, 19), (70, 10), (78, 18), (65, 5), (64, 4), (63, 3), (50, 10)]"
S0022309303003144__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309303003144__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309314006395__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309314006395__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309314006395__3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309314006395__4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309309006449__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309303002229__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309303002229__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309303002229__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309303002229__3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309306013676__0,"[0, 1, 1, 1, 3, 2, 0, 0, 0]","[(16, 1), (6, 1), (11, 1)]"
S0022309309003871__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309301003799__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309315300296__0,"[0, 0, 1, 1, 1, 1, 1, 3, 2, 2, 2, 2, 0, 0, 0, 0]","[(30, 12), (37, 10), (22, 13), (31, 13), (40, 13), (39, 12), (57, 12), (21, 12), (19, 10), (28, 10), (29, 11), (47, 11), (56, 11), (46, 10), (55, 10), (38, 11), (20, 11), (49, 13), (58, 13), (48, 12)]"
S0022309301007669__0,"[3, 2, 2, 2, 2, 0, 0, 0, 0, 1, 1, 1]","[(15, 12), (6, 4), (10, 8), (5, 4), (13, 12), (11, 8), (9, 8), (7, 4), (14, 12), (17, 16)]"
S0022309398007327__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309398007327__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S002230930000209X__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309307001238__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S002230931300553X__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S002230931300553X__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S002230931300553X__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S002230930600651X__0,"[0, 0, 1, 1, 1, 1, 0, 0, 2, 2]","[(11, 7), (19, 7), (10, 6), (14, 6), (18, 6), (15, 7), (22, 6), (23, 7)]"
S002230930600651X__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S002230930600651X__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309303004617__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309314000271__0,"[0, 1, 1, 1, 1, 1, 1, 3, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]","[(70, 4), (45, 1), (12, 1), (36, 3), (57, 2), (68, 2), (67, 1), (34, 1), (15, 4), (58, 3), (24, 2), (26, 4), (23, 1), (56, 1), (25, 3), (35, 2), (37, 4), (48, 4), (47, 3), (59, 4), (14, 3), (46, 2)]"
S0022309314000271__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309314000271__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309303006975__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309303006975__1,"[0, 0, 1, 0, 1, 3, 2, 2, 2, 2, 2, 0]","[(31, 28), (30, 2), (16, 2), (18, 4), (15, 1), (19, 5), (29, 1), (33, 5), (17, 3), (32, 28)]"
S0022309303006975__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309303006975__3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309304003588__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309304003588__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309314001835__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309314001835__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309305005624__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309305005624__3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309302011900__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309302011900__1,"[0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309310000323__0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(12, 1), (100, 1), (79, 2), (96, 8), (93, 5), (58, 3), (103, 4), (84, 7), (89, 1), (49, 5), (74, 8), (47, 3), (80, 3), (78, 1), (40, 7), (38, 5), (61, 6), (87, 10), (71, 5), (57, 2), (17, 6), (67, 1), (27, 5), (105, 6), (28, 6), (29, 7), (107, 8), (90, 2), (115, 5), (24, 2), (116, 6), (25, 3), (117, 7), (82, 5), (112, 2), (85, 8), (14, 3), (65, 10), (72, 6), (73, 7), (45, 1), (36, 3), (62, 7), (120, 10), (98, 10), (53, 9), (32, 10), (60, 5), (63, 8), (13, 2), (39, 6), (118, 8), (23, 1), (56, 1), (101, 2), (35, 2), (16, 5), (114, 4), (111, 1), (18, 7), (21, 10), (46, 2), (104, 5), (83, 6), (106, 7), (68, 2), (69, 3), (94, 6), (95, 7), (34, 1), (109, 10), (91, 3), (43, 10), (51, 7), (54, 10), (42, 9), (50, 6), (76, 10)]"
S0022309310000323__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309310000323__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309310000323__3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309310000323__4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309304007847__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309305007039__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309305007039__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309308002524__0,"[0, 1, 1, 1, 1, 1, 3, 2, 2, 2, 0, 0, 0, 0]","[(41, 1), (9, 1), (18, 2), (35, 3), (10, 2), (17, 1), (43, 3), (11, 3), (26, 2), (27, 3), (19, 3), (25, 1), (34, 2), (33, 1), (42, 2)]"
S0022309308002524__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309308002524__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309308002524__3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309304006921__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309304006921__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309300002520__0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 2, 2, 0, 0, 2, 2, 0, 0, 2, 2, 0]","[(41, 2), (250, 3), (180, 11), (20, 7), (262, 2), (175, 6), (93, 2), (208, 0), (50, 11), (328, 3), (16, 3), (171, 2), (143, 0), (283, 10), (150, 7), (68, 3), (223, 2), (136, 6), (137, 7), (253, 6), (270, 10), (23, 10), (107, 3), (249, 2), (24, 11), (179, 10), (267, 7), (49, 10), (71, 6), (158, 2), (273, 0), (104, 0), (299, 0), (325, 0), (224, 3), (13, 0), (67, 2), (39, 0), (266, 6), (46, 7), (32, 6), (76, 11), (33, 7), (314, 2), (163, 7), (169, 0), (54, 2), (305, 6), (195, 0), (166, 10), (221, 0), (247, 0), (132, 2), (254, 7), (133, 3), (75, 10), (162, 6), (280, 7), (62, 10), (263, 3), (292, 6), (210, 2), (293, 7), (59, 7), (302, 3), (65, 0), (288, 2), (260, 0), (91, 0), (289, 3), (286, 0), (340, 2), (341, 3), (271, 11), (28, 2), (29, 3), (140, 10), (58, 6), (176, 7), (141, 11), (19, 6), (296, 10), (297, 11), (159, 3), (188, 6), (106, 2), (36, 10), (189, 7), (146, 3), (301, 2), (37, 11), (258, 11), (198, 3), (130, 0), (184, 2), (156, 0), (310, 11), (185, 3), (182, 0), (276, 3), (306, 7), (154, 11), (309, 10), (72, 7), (149, 6), (315, 3), (145, 2), (55, 3), (257, 10), (167, 11), (279, 6), (312, 0), (42, 3), (197, 2), (338, 0), (94, 3), (26, 0), (80, 2), (52, 0), (275, 2), (81, 3), (78, 0), (192, 10), (193, 11), (172, 3), (327, 2), (153, 10), (63, 11), (15, 2), (284, 11), (45, 6), (211, 3)]"
S0022309300002520__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309300002520__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309301007931__0,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 3, 2, 0, 0, 2, 2, 2, 0, 2, 0, 0, 2, 2, 0]","[(64, 22), (50, 22), (60, 4), (71, 15), (75, 5), (54, 12), (155, 15), (134, 106), (174, 6), (68, 12), (183, 15), (187, 5), (166, 12), (116, 4), (179, 11), (57, 15), (113, 15)]"
S0022309302013285__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309302013285__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309302013285__3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309302013285__4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309302013285__5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309300001721__0,"[0, 1, 1, 1, 1, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 0]","[(66, 6), (36, 6), (38, 8), (47, 2), (20, 20), (23, 8), (21, 6), (73, 13), (52, 7), (78, 3), (28, 13), (76, 1), (40, 10), (42, 12), (88, 13), (87, 12), (71, 11), (67, 7), (43, 13), (25, 10), (70, 10), (27, 12), (65, 5), (79, 4), (58, 13), (49, 4), (35, 5)]"
S0022309300001721__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309306010775__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309306010775__1,"[0, 0, 1, 1, 1, 1, 0, 2, 2, 0]","[(17, 5), (10, 6), (13, 5), (14, 6), (18, 6), (21, 5), (22, 6), (9, 5)]"
S0022309306010775__2,"[0, 0, 1, 1, 1, 1, 0, 2, 2, 0]","[(17, 5), (10, 6), (13, 5), (14, 6), (18, 6), (21, 5), (22, 6), (9, 5)]"
S0022309306006855__0,"[0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309307002311__0,"[0, 1, 1, 1, 1, 1, 3, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0]","[(60, 5), (45, 1), (49, 5), (37, 4), (12, 1), (27, 5), (47, 3), (58, 3), (57, 2), (34, 1), (26, 4), (36, 3), (23, 1), (14, 3), (15, 4), (25, 3), (38, 5)]"
S0022309314006693__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309314006693__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309301009346__1,"[0, 0, 0, 0, 0, 0, 0]",[]
S0022309301009346__2,"[0, 0, 0, 0, 0, 0]",[]
S0022309309006188__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309309006188__1,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[(43, 17), (42, 16), (69, 17), (82, 17), (95, 17), (118, 14), (68, 16), (108, 17), (92, 14), (94, 16), (119, 15), (144, 14), (79, 14), (93, 15), (66, 14), (134, 17), (131, 14), (145, 15), (53, 14), (105, 14), (27, 14), (56, 17), (146, 16), (40, 14), (67, 15), (121, 17), (41, 15), (120, 16), (147, 17), (160, 17), (81, 16), (29, 16), (107, 16), (55, 16), (158, 15), (133, 16), (132, 15), (54, 15), (159, 16), (106, 15), (28, 15), (30, 17), (80, 15), (157, 14)]"
S0022309309006188__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S002230939800800X__0,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 0, 0, 0, 0, 0]","[(144, 16), (130, 18), (184, 16), (178, 18), (232, 16), (49, 17), (218, 18), (89, 17), (160, 16), (208, 16), (194, 18), (248, 16), (65, 17), (169, 17), (242, 18), (40, 16), (113, 17), (26, 18), (74, 18), (224, 16), (145, 17), (185, 17), (56, 16), (256, 16), (233, 17), (50, 18), (104, 16), (90, 18), (161, 17), (32, 16), (136, 16), (209, 17), (249, 17), (66, 18), (120, 16), (170, 18), (114, 18), (152, 16), (225, 17), (96, 16), (146, 18), (200, 16), (186, 18), (57, 17), (257, 17), (234, 18), (128, 16), (105, 17), (176, 16), (162, 18), (216, 16), (33, 17), (137, 17), (210, 18), (81, 17), (250, 18), (121, 17), (42, 18), (192, 16), (240, 16), (153, 17), (226, 18), (97, 17), (201, 17), (72, 16), (58, 18), (258, 18), (129, 17), (106, 18), (177, 17), (217, 17), (34, 18), (88, 16), (138, 18), (82, 18), (122, 18), (193, 17), (64, 16), (168, 16), (241, 17), (154, 18), (112, 16), (25, 17), (98, 18), (202, 18)]"
S0022309306001827__0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309306001827__2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
S0022309300001642__0,"[0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[(13, 1), (17, 5), (16, 4), (12, 0), (15, 3), (19, 7), (23, 11), (22, 10), (21, 9), (18, 6), (20, 8), (14, 2)]"
S0022309300001642__1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
